location_name,address,phone,hours_of_operation,latitude_longitude
Andes Public Library,"242 Main St, Andes, NY 13731",845-676-3333,Mon: 11:00 AM – 4:00 PM; Tues: 1:00 PM – 6:00 PM; Wed: 11:00 AM – 4:00 PM; Thurs: 4:00 PM – 7:00 PM; Fri: 1:00 PM — 5:00 PM; Sat: 10:00 AM — 12:00 PM,"42.1906135, -74.7816584"
Bovina Public Library,"33 Maple Ave, Bovina Center, NY 13740",607-832-4884,Tues: 10:00 AM - 5:00 PM; Wed: 1:00 PM - 7:00 PM; Thurs: 1:00 PM - 5:00 PM; Sat: 10:00 AM - 1:00 PM,"42.2629189, -74.78126"
Cannon Free Libray,"40 Elm Street, Delhi, NY 13753",607-746-2662,Tues: 9:30 AM – 7:00 PM; Wed: 9:30 AM – 5:00 PM; Thurs: 9:30 AM – 7:00 PM; Fri: 9:30 AM – 5:00 PM; Sat: 10:00 AM - 1:00 PM,"42.274648, -74.91857300000001"
Fairview Public Library,"43 Walnut St, Margaretville, NY 12455",845-586-3791,"Tues: 11:00 AM - 6:00 PM; Wed: 11:00 AM - 7:00 PM; Thurs, Fri: 11:00 AM - 5:00 PM; Sat: 10:00 AM - 3:00 PM","42.1486293, -74.6495832"
Morton Memorial Public Library,"22 Elm St, Pine Hill, NY 12465",845-254-4222,"Tues, Fri: 11:00 AM - 5:00 PM; Wed, Sat: 10:00 AM - 2:00 PM; Thurs: 2:00 PM - 6:00 PM","42.13399039999999, -74.4794137"
Roxbury Library,"53742 NY-30, Roxbury, NY 12474",607-326-7901,"Mon, Wed, Thurs: 8:30 AM - 3:30 PM; Sat: 10:00 AM - 2:00 PM","42.2867509, -74.5630912"
Sidney Memorial Public Library,"8 River Street, Sidney, NY 13838",607-563-1200,Tue-Thurs: 9:00 AM – 8:00 PM; Fri: 9:00 AM – 6:00 PM; Sat: 9:30 AM – 4:00 PM; Sun: 1:00 PM – 4:00 PM,"42.3159217, -75.3934173"
Stamford Library,"117 Main St, Stamford, NY 12167",607-652-5001,Mon: 12:00 PM - 6:00 PM; Tues & Thurs: 12:00 PM - 6:00 PM; Wed: 10:00 AM - 5:00 PM; Fri: 10:00 AM - 5:00 PM; Sat: 11:00 AM - 2:00 PM,"42.4091767, -74.6191233"
William B. Ogden Library,"42 Gardiner Place, Walton, NY 13856",607-865-5929,Tues: 9:00 AM - 5:00 PM; Wed: 1:00 PM - 8:00 PM; Thurs: 1:00 PM - 8:00 PM; Fri: 9:00 AM - 5:00 PM; Sat: 9:00 AM - 2:00 PM,"42.1694809, -75.12806309999999"
Adriance Memorial Library,"93 Market St, Poughkeepsie, NY 12601",845-485-3445,Call for operating hours,"41.7004364, -73.92994689999999"
Amenia Free Library,"3309 Route 343, Amenia, NY 12501",845-373-8273,Call for operating hours,"41.8499833, -73.555847"
Beekman Library,"11 Town Center Blvd, Hopewell Junction, NY 12533",845-724-3414,Call for operating hours,"41.6310112, -73.6928922"
Blodgett Memorial Library,"37 Broad St, Fishkill, NY 12524",845-896-9215,Call for operating hours,"41.533832, -73.9022683"
Boardman Branch Library,"141 Boardman Rd, Poughkeepsie, NY 12603",845-485-3445,Call for operating hours,"41.6615201, -73.8894577"
Clinton Community Library,"1215 Centre Rd., Rhinebeck, NY 12572",845-266-5530,Call for operating hours,"41.88376419999999, -73.8045641"
Dover Plains Library,"1797 Route 22, Wingdale, NY 12594",845-832-6605,Call for operating hours,"41.64776260000001, -73.563311"
East Fishkill Community Library,"348 Route 376, Hopewell Junction, NY 12533",845-221-9943,Call for operating hours,"41.5743514, -73.8067174"
Grinnell Library,"2642 East Main Street, Wappingers Falls, NY 12590",845-297-3428,Call for operating hours,"41.5984344, -73.9184008"
LaGrange Association Library,"1110 Route 55, Lagrangeville, NY 12540",845-452-3141,Call for operating hours,"41.6711527, -73.8011848"
Morton Memorial Library,"82 Kelly St, Rhinecliff, NY 12574",845-876-2903,Call for operating hours,"41.9190108, -73.9510966"
Northeast-Millerton Library,"75 Main St, Millerton, NY 12546",518-789-3340,Call for operating hours,"41.9535124, -73.5071813"
Pawling Library,"11 Broad St, Pawling, NY 12564",845-855-3444,Call for operating hours,"41.5634148, -73.6023027"
Pine Plains Free Library,"7775 South Main St, Pine Plains, NY 12567",518-398-1927,Call for operating hours,"41.977756, -73.65623400000001"
Pleasant Valley Library,"1584 Main St, Pleasant Valley, NY 12569",845-635-8460,Call for operating hours,"41.7436423, -73.82597720000001"
Red Hook Public Library,"7444 S Broadway, Red Hook, NY 12571",845-758-3241,Call for operating hours,"41.9933185, -73.8767481"
Staatsburg Library,"70 Old Post Rd., Staatsburg, NY 12580",845-889-4683,Call for operating hours,"41.8503584, -73.92789549999999"
Stanford Free Library,"6035 Route 82, Stanfordville, NY 12581",845-868-1341,Call for operating hours,"41.8700059, -73.708024"
Starr Library Rhinebeck,"68 West Market St., Rhinebeck, NY 12572",845-876-4030,Call for operating hours,"41.9263823, -73.9180815"
Tivoli Free Library,"86 Broadway, Tivoli, NY 12583",845-876-4030,Call for operating hours,"42.0589379, -73.911469"
Au Sable Forks Free Library,"9 Church Lane, Au Sable Forks, NY 12912",518-647-5596,Mon: 10:00 AM – 2:00 PM; Tues: 9:00 AM – 4:00 PM; Wed: 9:00 AM – 1:00 PM; Thurs: 3:00 PM – 5:30 PM; Fri: 1:00 PM – 4:30 PM; Sat: 9:30 PM – 1:30 PM,"44.439319, -73.678906"
Black Watch Memorial Library,"99 Montcalm St, Ticonderoga, NY 12883",518-585-7380,Tues: 10:00 AM - 7:00 PM; Wed - Fri: 10:00 AM – 5:00 PM; Sat: 10:00 AM - 3:00 PM,"43.8489232, -73.42540269999999"
E.M. Cooper Memorial Library,"5751 Rte 86, Wilmington, NY 12997",518-946-7701,Wed: 12:00 PM - 5:00 PM; Thurs - Sat: 9:00 AM - 2:00 PM,"44.3503154, -73.8316696"
Essex Beldon Noble Memorial Library,"2759 Essex Rd, Essex, NY 12936",518-963-8079,Mon & Tues: 2:00 PM - 4:00 PM; Wed: 10:00 AM - 5:00 PM; Thursday: 12:00 PM - 5:00 PM; Friday: 12:00 PM - 5:00 PM; Saturday: 10:00 AM - 5:00 PM,"44.310794, -73.352119"
Hammond Library,"2732 Main St, Crown Point, NY 12928",518-597-3616,Wed: 10:15 AM – 6:00 PM; Thurs: 12:15 PM – 8:00 PM; Fri: 10:15 AM – 4:00 PM; Sat: 10:15 AM – 1:00 PM,"43.9508048, -73.4266336"
Keene Valley Library Association,"1796 NYS-73, Keene Valley, NY 12943",518-576-4335,Mon - Sat: 10:00 AM - 5:00 PM,"44.190456, -73.786232"
Lake Placid Public Library,"2471 Main St, Lake Placid, NY 12946",518-523-3200,Mon - Fri: 9:30 AM – 6:00 PM; Sat: 10:00 AM – 4:00 PM,"44.2891641, -73.9850792"
Saranac Lake Free Library,"109 Main St, Saranac Lake, NY 12983",518-891-4190,Tues - Sat: 10:30 AM - 5:30 PM,"44.3274717, -74.1303542"
Schroon Lake Public Library,"15 LeLand Av, Schroon Lake, NY 12870",518-532-7737 x 13,"Tues, Wed & Fri: 10:00 AM - 4:00 PM; Thurs: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 2:00 PM","43.8369878, -73.759959"
Upper Jay Wells Memorial Library,"12230 NY 9N, Upper Jay, NY 12987",518-946-2644,Tues -Thurs: 12:00 PM – 5:00 PM; Sat: 11:00 PM – 4:00 PM,"44.33819279999999, -73.7736329"
Wadhams Free Library,"763 NY Rte 22, Wadhams, NY 12993",518-962-8717,Tues & Wed: 12:00 PM - 7:00 PM; Sat: 9:00 AM - 3:00 PM,"44.230085, -73.46107950000001"
Westport Library Association,"6 Harris Ln, Westport, NY 12993",518-962-8219,"Tues, Thurs & Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 2:00 PM","44.181904, -73.4341318"
Wilsboro Paine Memorial Library,"2 Gilliland Ln, Willsboro, NY 12996",518-963-4478,"Mon, Tues, Thurs & Fri: 10:00 AM - 5:00 PM; Wed: 10:00 AM - 7:00 PM; Sat: 10:00 AM - 2:00 PM","44.36407579999999, -73.3899295"
Gloversville Public Library,"58 East Fulton Street, Gloversville, NY 12078",518-725-2819,6/1 - 9/2: Mon: 9:00 AM – 7:00 PM; Tues – Thurs: 9:00 AM – 5:00 PM; Fri: 9:00 AM - 5:00 PM,"43.05052329999999, -74.3429386"
Johnstown Public Library,"38 S Market St, Johnstown, NY 12095",518-762-8317,Tues - Thurs: 9:00 AM – 6:00 PM; Fri: 9:00 AM – 4:00 PM; Sat: 10:00 AM – 1:00 PM,"43.004567, -74.372202"
Senior Citizen Service Center of Gloversville and Fulton County,"53 Church St, Gloversville, NY 12078",518-725-0923,Mon - Fri: 9:00 AM – 1:00 PM,"43.0512856, -74.3480534"
Shirley J. Luck Senior Citizen Center,"109 E Main St, Johnstown, NY 12095",518-762-4643,Mon -Thurs: 8:00 AM - 3:00 PM; Fri: 8:00 AM - 12:00 PM,"43.0073265, -74.3643123"
Byron-Bergen Public Library,"13 South Lake Ave, Bergen, NY 14416",585-494-1120,Tues-Thurs: 10:00 AM-1:00 PM & 2:00 PM -7:00 PM; Fri: 10:00 AM -6:00 PM; Sat: Closed during the summer; Sun & Mon: Closed,"43.0846722, -77.9422793"
Corfu Public Library,"7 Maple Ave, Corfu, NY 14036",585-599-3321,Mon: 9:00 AM-4:00 PM; Tues: 1:00 PM -8:00 PM; Wed: 9:00 AM -4:00 PM; Thurs-Fri: 1:00 PM -8:00 PM; Sat & Sun: Closed,"42.9598483, -78.4033883"
Haxton Memorial Library,"3 North Pearl St, Oakfield, NY 14125",585-948-9900,Mon: 9:00 AM-5:00 PM; Tues: 12:00 PM-8:00 PM; Wed: 9:00 AM-5:00 PM; Thurs: 12:00 PM-8:00 PM; Fri: 9:00 AM-12:00 PM; Sat: CLOSED; Sun: CLOSED,"43.0663138, -78.27020999999999"
Hollwedel Memorial Library,"5 Woodrow Dr, Pavilion, NY 14525",585-584-8843,Mon: 1:00 PM-8:00 PM; Tues: 10:00 AM-1:00 PM; Wed: 1:00 PM-8:00 PM; Thurs: 10:00 AM-1:00 PM; Fri: 11:00 AM-6:00 PM; Sat: 9:00 AM-12:00 PM; Sun: Closed,"42.8754697, -78.0275697"
Richmond Memorial Library,"19 Ross St, Batavia, NY 14020",585-343-9550,Mon-Thurs: 9:00 AM-9:00 PM; Fri-Sat: 9:00 AM – 5:00 PM; Sun: CLOSED,"42.997772, -78.1770974"
Salvation Army of Batavia,"529 E Main St, Batavia, NY 14020",(585) 343-6284,Mon - Fri: 10:00 AM - 3:30 PM; Sat & Sun: Closed,"42.996181, -78.1693334"
Woodward Memorial Library,"7 Wolcott St, LeRoy, NY 14482",585-768-8300,Mon-Thurs: 10:00 AM -8:00 PM; Fri: 10:00 AM -5:00 PM; Sat: 10:00 AM-2:00 PM; Sun: Closed,"42.97645130000001, -77.9868934"
Cairo Public Library,"15 Railroad Ave, Cairo, NY 12413",518-622-9864,Mon- Wed: 10:00 AM-5:00 PM; Thurs: 1:00 PM-7:00 PM; Fri-Sat: 10:00 AM-3:00 PM; Sun: closed,"42.3011639, -73.9996343"
Catskill Public Library,"1 Franklin St, Catskill, NY 12414",518-943-4230,"Mon: 9:00 AM-5:00 PM, Tues-Thurs: 11:00 Am-6:30 PM, Fri: 9:00 AM-5:00 PM, Sat: 10:00 AM-2:00 PM, Sun: closed","42.2178806, -73.8643357"
D.R. Evarts Public Library,"80 2nd Street, Athens, NY 12015",518-945-1417,Mon: 10:00 AM-6:00PM; Tues: 12:00 PM-7:00 PM; Wed-Fri: 10:00 AM-6:00 PM; Sat: 10:00 AM-2:00 PM; Sun: closed,"42.2618903, -73.8119882"
Greenville Public Library,"11177 Rte 32, Greenville, NY 12083",518-966-8205,Mon: 9:00 AM -5:00 PM; Tues: 9:00 Am-6:00PM; Wed: 9:00AM-5:00 PM; Thurs: 9:00 AM-6:00 PM; Fri: 12:00 PM-5:00 PM; Sat: 9:00 AM-12:00 PM,"42.4162744, -74.02279159999999"
Heermance Memorial Library,"1 Ely Street, Coxsackie, NY 12051",518-731-8084,Mon-Tues: 10:00 Am-4:00 PM; Wed: 10:00 AM-6:00 PM; Thurs: 10:00 Am-4:00 PM; Fri: 10:00 AM- 4:00 PM; Sat: 10:00 AM-2:00 PM; Sun: closed,"42.351515, -73.7975914"
Hunter Public Library,"7965 Main Street, Hunter, NY 12442",518-263-4655,Mon-Fri: 11:00 AM -5:00 PM; Sat: 11:00AM-4:00 PM; Sun: closed,"42.2129089, -74.2185975"
Mountain Top Library,"6093 Main Street, Tannerville, NY 12485",518-589-5707,Mon-Fri: 10:00 AM - 5:00 PM; Sat: 10:00-2:00 PM; Sun: closed,"42.195343, -74.1373519"
Palenville Public Library,"3303 Rte 23A, Palenville, NY 12463",518-678-3357,Mon: 9:00 AM-12:00 PM; Tues: 11:00AM -5:00 PM; Wed: closed; Thurs: 11:00 AM-7:00 PM; Fri: 11:00 AM -5:00 PM; Sat: 10:00 AM-1:00PM; Sun: closed,"42.1746396, -74.02071839999999"
Windham Public Library,"5379 State Route 23, Windham, NY 12496",518-734-4405,Mon: 10:00 AM-5:00 PM; Tues: 10:00 AM-6:00 PM; Wed: 10:00 AM-5:00 PM; Thurs: 10:00 AM-6:00 PM; Fri: 10:00 AM-5:00 PM; Sat: 10:00 AM-1:00 PM; Sun: closed,"42.3067173, -74.2521072"
Salmon Run Mall,"21182 Salmon Run Mall Loop W, Watertown, NY 13601",315-788-9210,Mon-Sat: 10:00 AM-8:00 PM; Sun: 11:00 AM-6:00 PM,"43.97708069999999, -75.9532866"
Northern Regional Independent Living Center,"5520 Jackson St., Lowville, NY 13367",315-836-3735,Mon-Fri: 8:30 AM - 4:30 PM,"43.781853, -75.48534149999999"
Avon Free Library,"143 Genesee Street, Avon, NY 14414",585-335-6720,Mon: 10:00 AM - 8:00 PM; Tues: 10:00 AM - 6:00 PM; Wed: Closed; Thurs: 10:00 AM - 8:00 PM; Fri: 10:00 AM - 5:00 PM,"42.9097738, -77.74739869999999"
Avon Village Hall,"74 Genesee St, Avon, NY 14414",585-226-8118,Call for operating hours,"42.9110929, -77.7456074"
Dansville Public Library,"200 Main Street, Dansville, NY 14437",585-226-8461,Mon - Thurs: 10:00 AM - 8:00 PM; Fri: 10:00 AM - 5:00 PM,"42.56222169999999, -77.69636229999999"
Emergency Management Training Center,"3360 Gypsy Ln, Mount Morris, NY 14510",585-243-7160,Call for operating hours,"42.7307511, -77.8298872"
Government Center,"6 Court St, Geneseo, NY 14454",585-243-7000,Call for operating hours,"42.802453, -77.81602409999999"
J W Jones Hall,"366 Leicester Rd, Caledonia, NY 14423",585-538-4626,Call for operating hours,"42.9698325, -77.8657963"
Lakeville Training Grounds,"5939 Stone Hill Rd, Lakeville, NY 14480",585-346-5733,Call for operating hours,"42.838515, -77.6983903"
Bridgeport Public Library,"8979 North Rd, Bridgeport, NY 13030",315-633-2253,Mon - Thurs: 10:00 AM - 7:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 2:00 PM,"43.1564463, -75.9701011"
Canastota Municipal Pool,"100 Spencer St, Canastota, NY 13032",315-697-7559,Mon - Fri: 1:00 PM - 7:00 PM; Sat - Sun: 1:00 PM - 6:00 PM,"43.0816042, -75.7526616"
Canastota Public Library,"102 W. Center St, Canastota, NY 13032",315-697-7030,Mon - Thurs: 9:00 AM - 8:00 PM; Fri: 9:00 AM - 5:00 PM; Sat: 9:00 AM - 12:00 PM,"43.07846, -75.75542100000001"
Cazenovia Public Library,"100 Albany St, Cazenovia, NY 13035",315-655-9322,Mon - Thurs: 10:00 AM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 4:00 PM,"42.9297015, -75.85201119999999"
Chapman Public Pool in Oneida,"360 N Main St, Oneida, NY 13421",315-363-3590,Mon-Fri: 12:00 PM - 5:00 PM; Sat: 12:00 PM - 4:00 PM,"43.1019501, -75.6581574"
Chittenango Public Library,"101 Falls Blvd, Chittenango, NY 13037",315-687-6331,Mon - Thurs: 10:00 AM - 7:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 2:00 PM,"43.0441139, -75.8659935"
DeRuyter Free Library,"735 Utica St, DeRuyter, NY 13052",315-852-6262,Mon - Tues: 9:00 AM - 5:00 PM; Thurs: 9:00 AM - 7:00 PM,"42.7589792, -75.88472039999999"
Earlville Public Library,"4 N Main St, Earlville, NY 13332",315-691-5931,Mon - Wed: 1:00 PM - 7:00 PM; Thurs - Fri: 10:00 AM - 5:00 PM; Sat 10:00 AM - 12:30 PM,"42.7402993, -75.545086"
Hamilton Public Library,"13 Broad St, Hamilton, NY 13346",315-824-3060,Mon - Thurs: 10:00 AM - 7:00 PM; Fri: 10:00 AM - 5:00 PM; Sat: 10:00 AM - 2:00 PM,"42.8264962, -75.54291549999999"
Madison County Office for the Aging,"139 Dominic Bruno Blvd, Canastota, NY 13032",315-697-5700,Mon-Fri: 8:00 AM - 4:00 PM,"43.0713642, -75.76501209999999"
New Woodstock Public Library,"2106 Main St, New Woodstock, NY 13122",315-662-3134,"Mon & Wed: 9:00 AM - 8:00 PM; Tues, Thurs, Fri: 9:00 AM - 5:00 PM; Sat: 9:00 AM - 12:00 PM","42.8479055, -75.8556761"
Oneida Public Library,"459 Main St, Oneida, NY 13421",315-363-3050,Mon-Thurs: 10:00 AM - 8:00 PM; Fri: 10:00 AM - 5:00 PM; Sat: 10:00 AM - 4:00 PM,"43.0866439, -75.6456029"
Adams St. Recreation Center Pool,"85 Adams St, Rochester, NY 14608",585-428-7266,Opens 7/1: 12:00 PM - 7:00 PM,"43.1482188, -77.6167383"
Avenue D Recreation Center Pool,"200 Avenue D, Rochester, NY 14621",,Opens 7/1: 11:00 AM - 7:00 PM,"43.1805599, -77.6190988"
Campbell Street Recreation Center Spray Park,"524 Campbell St, Rochester, NY 14611",,Mon - Sat: 1200 PM - 8:00 PM,"43.1576461, -77.6424863"
Carter Street Recreation Center Spray Park,"500 Carter St, Rochester, NY 14621",585-428-7890,Mon - Sat: 1200 PM - 8:00 PM,"43.1861725, -77.5908656"
David F. Gantt Recreation Center Spray Park,"700 North St, Rochester, NY 14605",585-428-7149,Mon - Sat: 1200 PM - 8:00 PM,"43.1706511, -77.5966796"
Dr. Martin Luther King Jr. Memorial Park,"353 Court St, Rochester, NY 14607",585-428-7541,Mon - Sat: 1200 PM - 8:00 PM,"43.1539747, -77.6018083"
Durand Eastman Beach,"Lake Shore Blvd & Zoo Rd, Rochester, NY 14617",585-753-7275,Mon - Sat: 11:00 AM - 7:00 PM,"43.2394974, -77.5676608"
Fourth and Peck Playground,"145 Fourth St, Rochester, NY 14609",585-428-5990,Mon - Sat: 1200 PM - 8:00 PM,"43.165956, -77.5839711"
Genesee Valley Sports Complex Pool,"131 Elmwood Ave, Rochester, NY 14611",585-428-7888,Mon - Sat: 1200 PM - 8:00 PM,"43.1243844, -77.6346963"
Humboldt Recreation Center Spray Park,"1045 Atlantic Ave, Rochester, NY 14610",,Call for operating hours.,"43.1563981, -77.5556005"
Lightfoot Recreation Center Pool,"271 Flint St, Rochester, NY 14608",,Call for operating hours.,"43.139439, -77.627516"
Trenton and Pamela Jackson Recreation Center Pool,"485 N. Clinton Ave, Rochester, NY 14605",585-428-7476,Opens 7/1: Call for operating hours,"43.1666177, -77.6109379"
Troup Street Park,"210 Troup St, Rochester, NY 14608",585-428-7511,Mon - Sat: 1200 PM - 8:00 PM,"43.1516809, -77.6234186"
Barker Public Library,"8673 Church Street, Barker, NY 14012",716-795-3344,Mon - Fri: 10:00 AM - 5:00 PM; Sat: 10:00 AM - 12:00PM,"43.3292535, -78.55379649999999"
Lewiston Public Library,"305 S 8th Street, Lewiston, NY 14092",716-754-4720,Mon - Tues: 10:00 AM - 8:00 PM; Wed - Thurs: 10:00 AM - 5:00 PM; Fri: 12:00 PM - 5:00 PM; Sat: 10:00 AM - 3:00 PM,"43.1690815, -79.0372239"
Lockport Public Library,"23 East Avenue, Lockport, NY 14094",716-433-5935,Mon - Thurs: 9:00 AM - 8:00 PM; Fri: 9:00 AM - 5:00 PM; Sat: 10:00 AM - 5:00 PM,"43.1715541, -78.6877162"
Newfane Public Library,"2761 Maple Avenue, Newfane, NY 14108",716-778-9344,Mon - Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 2:00PM,"43.2814398, -78.7055582"
Niagara Falls - Lasalle Branch Library,"8728 Buffalo Avenue, Niagara Falls, NY 14304",716-283-8309,Mon - Tues: 10:00 AM - 8:00 PM; Wed - Fri: 10:00 AM - 5:00 PM,"43.0776943, -78.9630437"
Niagara Falls Public Library,"1425 Main Street, Niagara Falls, NY 14305",716-286-4894,Mon - Wed: 9:00 AM - 9:00 PM; Thurs - Sat: 9:00 AM - 5:00 PM,"43.1023413, -79.05150309999999"
North Tonawanda Public Library,"505 Meadow Drive, North Tonawanda, NY 14120",716-693-4132,Mon - Thurs: 9:00 AM - 7:00 PM; Fri - Sat: 9:00 AM - 5:00 PM,"43.0516398, -78.86806"
Ransomville Free Library,"3733 Raonsomville Road, Ransomville, NY 14131",716-791-4073,Mon: 2:00 PM - 7:00 PM; Tues: 10:00 AM - 7:00 PM; Wed: 2:00 PM - 7:00 PM; Thurs: 10:00 AM - 7:00 PM; Sat: 2:00 PM - 5:00 PM,"43.2326434, -78.9090341"
Royalton Hartland Community Library,"9 Vernon Street, Middleport, NY 14105",716-735-3281,Mon - Thurs: 11:00 AM - 8:00 PM; Sat: 11:00 AM - 4:00 PM,"43.2115045, -78.4749519"
Sanborn-Pekin Free Library,"5884 West Street, Sanborn, NY 14132",716-731-9933,Regular Hours: Mon: 2:00 PM - 8:00 PM; Tues: 2:00 PM - 6:00 PM; Wed: 2:00 PM - 8:00 PM; Thurs: 2:00 PM - 8:00 PM; Fri: 2:00 PM - 6:00 PM; Sat: 10:00 AM - 1:00 PM Summer Hours: Mon: 2:00 PM - 8:00 PM; Tues: 2:00 PM - 6:00 PM; Wed: 2:00 PM - 8:00 PM; Thurs: 2:00 PM - 8:00 PM; Fri: 2:00 PM - 6:00 PM,"43.1362893, -78.8918898"
Wilson Community Library,"265 Young Street, Wilson, NY 14172",716-751-6070,Mon - Tues: 10:00 AM - 8:00 PM; Wed: 2:00 PM - 8:00 PM; Thurs: 10:00 AM - 8:00 PM; Fri: 10:00 AM - 5:00 PM; Sat: 10:00 AM - 1:00 PM,"43.3093132, -78.827101"
Youngstown Free Library,"240 Lockport Street, Youngstown, NY 14174",716-745-3555,Mon: 2:00 PM - 8:30 PM; Tues: 9:30 AM - 8:30 PM; Wed: 2:00 PM - 8:30 PM; Thurs: 2:00 PM - 6:00 PM; Fri: 10:00 AM - 2:00 PM; Sat: 10:00 AM - 2:00 PM,"43.250697, -79.046837"
Dunham Public Library,"76 Main St., Whitesboro, NY 13492",315-736-9734,Mon-Wed: 9:30 AM - 8:00 PM; Thurs-Sat: 9:30 AM - 5:30 PM; Sun: Closed,"43.12107959999999, -75.28919259999999"
Jervis Public Library,"613 N. Washington St., Rome, NY 13440",315-336-4570,Call for operating hours,"43.2186817, -75.45406249999999"
Kirkland Town Library,"55 1/2 College Street, Clinton, NY 13323",315-853-2038,Mon-Thurs: 9:00 AM - 8:30 PM; Fri: 9:00 AM - 6:00 PM; Sat: 9:00 AM - 1:00 PM,"43.0478268, -75.3842846"
North Utica Senior Citizens,"50 Riverside Dr, Utica, NY 13502",315-724-2430,Call for operating hours,"43.1181528, -75.21379639999999"
Parkway Senior Center,"220 Memorial Pkwy, Utica, NY 13501",315-223-3073,Call for operating hours,"43.0846738, -75.2495958"
Sangertown Mall,"8555 Seneca Turnpike, New Hartford, NY 13413",315-797-8520,Call for operating hours,"43.08266649999999, -75.3153623"
Sherrill-Kenwood Free Library,"543 Sherrill Road, Sherrill, NY 13461",315-363-5980,Mon-Thurs: 10:00 AM - 7:00 PM; Fri: 10:00 AM - 4:00 PM; Sat: 10:00 AM - 1:00 PM; Sun: Closed,"43.0695617, -75.6015991"
South Rome Senior Center,"112 Ridge St, Rome, NY 13440",315-339-6457,Call for operating hours,"43.2082315, -75.46187929999999"
Utica Public Library,"303 Genesee St, Utica NY, NY 13501",315-735-2279,Call for operating hours,"43.0966226, -75.2387882"
Baldwinsville Public Library,"33 E Genesee St, Baldwinsville, NY 13027",315-635-5631,Call for operating hours,"43.1592013, -76.3294465"
Beauchamp Branch Library,"2111 S Salina St, Colvin, NY 13205",315-435-3395,Call for operating hours,"43.025969, -76.1450089"
Betts Branch Library,"4862 S Salina St, Syracuse, NY 13205",315-435-1940,Call for operating hours,"42.9988174, -76.14356049999999"
Camillus Senior Center,"25-1/2 First St, Camillus, NY 13031",315-672-5820,Mon-Fri: 9:00 AM-3:30 PM,"43.0394137, -76.3044791"
Central Library-The Galleries of Syracuse,"447 S Salina St, Syracuse, NY 13202",315-435-1900,Call for operating hours,"43.04607290000001, -76.1514088"
Cicero Senior Center,"5924 Lathrop Dr, Cicero, NY 13039",315-452-3298,Mon-Fri: 10:00 AM - 4:00 PM,"43.1458467, -76.11208830000001"
DestiNY USA,"9090 Destiny USA Drive, Syracuse 13204, NY Syracuse 13204",315-466-6000,Mon-Thu: 10:00 AM-8:00 PM; Fri-Sat: 10:00 AM-9:00 PM; Sun: 11:00 AM-6:00 PM,"43.0675599, -76.1709295"
Dewitt Community Library,"5110 Jamesville Road, Jamesville, NY 13078",315-446-3578,Call for operating hours,"43.0200398, -76.07220339999999"
Dewitt Town Hall,"5400 Butternut Dr, De Witt, NY 13057",315-446-3910,Mon-Fri: 8:00 AM-4:30 PM,"43.0466482, -76.04956899999999"
Dunbar Center,"1453 S State St, Syracuse, NY 13205",315-760-3155,Call for operating hours,"43.031862, -76.1459021"
East Syracuse Free Library,"4990 James St, East Syracuse, NY 13057",315-437-4841,Call for operating hours,"43.0697202, -76.0731792"
Elbridge Free Library,"241 E Main St, Elbridge, NY 13060",315-689-7111,Call for operating hours,"43.03653, -76.4380709"
Fairmount Community Library,"406 Chapel Dr, Syracuse, NY 13219",315-487-8933,Call for operating hours,"43.0442884, -76.24687639999999"
Fayetteville Free Library,"300 Orchard St, Fayetteville, NY 13066",315-637-6374,Call for operating hours,"43.02556060000001, -76.0069154"
Fayetteville Senior Center,"584 E Genesee St, Fayetteville, NY 13066",315-637-9025,Mon-Thu: 10:00 AM-3:00 PM; Fri: 11:00 AM-4:00 PM,"43.0307922, -75.995819"
Hazard Branch Library,"1620 W Genesee St, Syracuse, NY 13204",315-435-5326,Call for operating hours,"43.0527753, -76.1874093"
Jewish Community Center,"5655 Thompson Rd, Syracuse, NY 13214",315-445-2360,Call for operating hours,"43.0443798, -76.07364679999999"
Jordan Bramley Library,"15 Mechanic St, Jordan, NY 13080",315-689-3296,Call for operating hours,"43.0657501, -76.4710594"
Jordan Elbridge Community Center,"1 Route 31, Jordan, NY 13080",315-689-9031,Call for operating hours,"43.0673082, -76.4819404"
Lafayette Public Library,"2577 Route 11, La Fayette, NY 13084",315-677-3782,Call for operating hours,"42.8967112, -76.1072428"
Liverpool Public Library,"310 Tulip St, Liverpool, NY 13088",315-457-0310,Call for operating hours,"43.1027768, -76.2078667"
Magnarelli Community Center,"2300 Grant Blvd, Syracuse, NY 13208",315-473-2673,Mon-Fri: 3:00 PM-7:00 PM; Sun 12:00 PM-8:00 PM,"43.0741705, -76.1458328"
Manlius Library,"1 Arkie Albanese Way, Manlius, NY 13104",315-682-6400,Call for operating hours,"43.0040529, -75.98438639999999"
Manlius Senior Center,"1 Arkie Albanese Way, Manlius, NY 13104",315-682-7889,Mon-Fri: 9:00 AM-3:00 PM,"43.0035625, -75.9848762"
